solver_id,phase,n,alpha,alpha_r,alpha_ci_lo,alpha_ci_hi,beta
2010HULL01,early,1712,0.5252165159283384,0.9923254846400082,0.4728137247503929,0.6402030327039535,0.015335707841756046
2010HULL01,late,1712,0.48942908083546655,0.9976039025965971,0.4111197637082563,0.538675623258577,-0.032717323020526906
2010RONK01,full,2922,0.3575311615159248,0.9868106496157083,0.35280015748571314,0.5588493234986809,0.030372820260114456
2010RONK01,early,1461,0.37414880572627496,0.9651044165779825,0.3399845251077402,0.5763744819035478,0.05886563492005
2010RONK01,late,1461,0.497498023029589,0.9961502932108066,0.45255386495668143,0.5512086194653776,0.0386794357147005
2010ROSE03,full,3779,0.5781882188950718,0.9963401201106297,0.514118544376705,0.613901999027169,0.0007797670117595704
2010ROSE03,early,1889,0.5655692358122689,0.9930147520308583,0.45762589435333245,0.6514641469709904,-0.01909154846344829
2010ROSE03,late,1890,0.5319314615388615,0.9988939363465462,0.4723438016533988,0.5956170223060036,0.01079659406407543
2010THOM03,full,2848,0.6036370631850825,0.9878117646975451,0.5404856513629529,0.6727399815207343,0.09008844504175896
2010THOM03,early,1424,0.5088663478903029,0.9914913178386537,0.43391815087320434,0.6242963718842779,0.13478673447978293
2010THOM03,late,1424,0.5646891074176627,0.9971479302463937,0.49833696120078724,0.625437478991303,0.03446186693365594
2010WEYE02,full,2838,0.5464684605967278,0.9953170489533489,0.4633817508346062,0.6176886233968644,0.005941526663729076
2010WEYE02,early,1419,0.6004174502191005,0.993980424396546,0.46620513882472914,0.6578340086361719,-0.00413903322088459
2010WEYE02,late,1419,0.5094691629759696,0.9969343153076765,0.4275660470704661,0.5859782212712367,-0.011263220759968705
2011EDUA01,full,4264,0.6399341871158136,0.974013776170778,0.5403840618169716,0.8530189404793572,0.08489257946739708
2011EDUA01,early,2132,0.5775359462938457,0.9616400278100145,0.4777838907715063,0.9031024437823542,0.09000434531347233
2011EDUA01,late,2132,0.4922125480467822,0.995255576573267,0.4465379988810886,0.5696639783493864,0.05180527253769542
2011GROG02,full,2380,0.5665442524109199,0.9892788878473533,0.47285309633340994,0.6215210964667776,0.0228119758111942
2011GROG02,early,1190,0.5903619420758356,0.9953248371235671,0.5200393274150672,0.677491724410133,0.024262506310920445
2011GROG02,late,1190,0.41597745836854483,0.9920485932654124,0.3859053329099496,0.5113851963807027,-0.12246538373169553
2011SZAT01,full,2470,0.4819115056782464,0.9939634837005139,0.44090837911533404,0.6765512934221185,-0.036710115948673704
2011SZAT01,early,1235,0.483883859612612,0.9932036669910322,0.44316514816273406,0.675596371570573,-0.03327117335941416
2011SZAT01,late,1235,0.5607393860449114,0.9926583413965222,0.4479249178635867,0.6828413443367379,-0.016692378201278866
2011WELC01,full,2616,0.49700742655699315,0.9969683702339448,0.4564099954964949,0.6063273230876348,-0.008380060783148763
2011WELC01,early,1308,0.47041303136074497,0.9934671513598828,0.4081193632573794,0.5913708733889858,-0.0005360540289586096
2011WELC01,late,1308,0.5871746579763573,0.9982671290334295,0.49043875319068037,0.6787542029219603,0.03804453100783659
2012CANT02,full,2949,0.627817362773719,0.9926736601602463,0.5218438211565947,0.6750191748961373,0.08362154837502019
2012CANT02,early,1474,0.6158419993466921,0.9934685087813999,0.5425918282186706,0.6931201439677365,0.1434127714743523
2012CANT02,late,1475,0.4800269791371056,0.9974081343724696,0.3797150251517086,0.5770315817076754,-0.042124476741108814
2012ICKL01,full,2699,0.5502276494534057,0.9888657730550791,0.44294875314057713,0.6136753850104362,-0.013648524083244651
2012ICKL01,early,1349,0.4393994536628834,0.9926866346831875,0.31197391337341523,0.517098906728875,-0.017386212488001523
2012ICKL01,late,1350,0.5760810527276317,0.9947213175768774,0.5025273466056921,0.6775260488467245,0.0019762841763916027
